Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
122,16686837,21F1005840,"2026-08-10 04:59:43",0.07603,3,indranil98
123,16689190,21F1001232,"2026-08-10 18:11:59",0.07711,2,yerolkarsujata
124,16695472,21f1005948,"2026-08-10 01:29:55",0.07877,3,aman7717
125,16684149,22f3003201,"2026-08-10 12:45:35",0.08016,2,abhishekpandia
126,16691014,23f2000189,"2026-08-10 08:40:44",0.08122,3,rajatshenoi
127,16696423,iitm21f1002562,"2026-08-10 17:49:52",0.08680,2,harshpal1441ds
128,16684579,22f2001018,"2026-08-10 05:02:38",0.08840,4,jatinyadaviitm
129,16691960,21F1001712,"2026-08-10 17:20:40",0.09258,3,hellorohit
130,16684750,"Piush Das","2026-08-08 13:07:32",0.09403,3,piushdasss
131,16685182,22f2001312,"2026-08-10 13:20:11",0.09418,4,pranshusinha0205
132,16690741,21f1001169,"2026-08-09 17:29:29",0.10206,2,iitm21f1001169
133,16687038,21f1004496,"2026-08-10 13:59:05",0.10219,2,tomin12
134,16700514,me24b147,"2026-08-10 17:13:52",0.10503,2,ksrohit26
135,16700777,23f3002196,"2026-08-10 15:42:48",0.10863,4,shusmit
136,16691128,21F2000639,"2026-08-08 19:50:09",0.10957,1,gaurangidhuri27
137,16686410,23f1000403,"2026-08-10 11:46:37",0.12063,2,rawnakjain
138,16684451,23f2003853,"2026-08-09 16:29:10",0.16382,3,khprasath
139,16690079,21f1001124,"2026-08-10 07:09:18",0.19306,7,sirius21f1001124
140,16686286,22F3000767,"2026-08-10 15:12:43",0.21228,10,ghamsini
141,16691889,23f1000205,"2026-08-10 18:24:30",0.22612,3,sknooralam
142,16694363,21F1003204,"2026-08-10 16:51:27",0.23319,2,harshvardhankiitm
143,16690449,Techguy,"2026-08-09 19:06:47",0.24751,2,sohamkulkarni201
144,16687949,Shramadeep,"2026-08-07 23:50:54",0.24753,1,shramadeep
145,16692594,21f3000591,"2026-08-10 17:54:14",0.24785,2,shubhranshusharma
146,16699058,"Data Ki Science","2026-08-10 09:17:20",0.29613,1,datakiscience
147,16686418,22F3001144,"2026-08-10 13:55:56",0.72137,1,sohanvriitm
148,16691139,21F3001668,"2026-08-10 15:58:23",0.74011,3,anubhavagarwal5
149,16689331,21F2000510,"2026-08-10 17:45:37",0.87429,2,iitm21f2000510
150,16694517,"UTKARSH OMRE","2026-08-09 08:34:54",0.89001,1,dsutkarshomre
151,16689052,21F1001824,"2026-08-09 00:42:03",0.89464,1,jagannath1824
152,16696436,22f3001690,"2026-08-10 15:14:54",0.98798,1,yuvrajgosainiitm
153,16696137,Newbie,"2026-08-10 12:34:11",1.30164,1,technicalbadass
