Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
38,16841633,23f1001168,"2026-09-06 19:32:49",39.27626,1,hamees25
39,16829546,23F2004965,"2026-09-04 17:41:49",39.27503,1,ashishpanghal
40,16838945,21f1006516,"2026-09-07 11:45:25",39.27411,14,iitm21f1006516
41,16831187,21f3001839,"2026-09-07 11:05:07",39.25257,6,vikankshipatil31
42,16839496,22f3002782,"2026-09-07 09:29:47",39.25006,1,abhinavvjaswal
43,16844857,23f2001876,"2026-09-07 17:36:46",39.23996,5,kunjvipulgoyal
44,16828162,23f2000473,"2026-09-07 11:04:36",39.23918,6,piratewiz99
45,16831156,21f1001439,"2026-09-06 03:43:14",39.23668,1,deepak8492
46,16840419,21F3002640,"2026-09-07 10:00:02",39.21223,2,sharmamahesh01
47,16830667,22f3003030,"2026-09-05 13:56:34",39.21088,8,sankalpasarkar1101
48,16832481,22f3001988,"2026-09-07 18:09:27",39.20885,6,ssrini2002
49,16828048,23f2004188,"2026-09-07 05:08:16",39.20778,5,venkateshthatha
50,16830357,22F3001778,"2026-09-07 18:15:32",39.19350,1,deepaksangh41
51,16830604,"panchi banu udta phiru","2026-09-06 05:29:43",39.19339,2,panchibanuudtaphiru
52,16848118,23f2004126,"2026-09-07 12:31:50",39.19339,1,aanchalroutela
53,16844671,22f3002612,"2026-09-07 19:44:52",39.18528,4,clyrmze
54,16846251,21f1003070,"2026-09-07 20:37:04",39.16783,2,iitm21f1003070
55,16828078,23F2003824,"2026-09-04 13:22:07",39.16683,2,shri172004
56,16839914,23f3002196,"2026-09-05 22:33:21",39.16212,4,shusmit
57,16849535,23f3000878,"2026-09-07 20:18:55",39.16052,1,md23f3000878
58,16830273,22f3002342,"2026-09-07 14:32:40",39.14646,10,divyansh9n0v
59,16832690,dvyverse,"2026-09-07 15:02:22",39.14646,8,dvyverse
60,16848599,22f3000985,"2026-09-07 16:57:18",39.14104,1,mdayanarshad
61,16832112,22f3002094,"2026-09-06 01:58:10",39.13898,1,thehimanshhu
62,16832375,22f3001120,"2026-09-05 13:21:08",39.13352,1,sohamabhaypimprikar
63,16830952,23F1001632,"2026-09-07 04:31:52",39.10841,5,sundareshkarthicg
64,16832495,22f3002758,"2026-09-07 10:58:19",39.09249,3,tarikasubhashhedaoo
65,16840794,22f3002597,"2026-09-07 18:04:10",39.08084,3,skdev03
66,16844413,23f2001923,"2026-09-07 09:48:04",39.05716,1,madhav240here
67,16831014,22f3000714,"2026-09-06 19:22:54",39.04390,2,harshsroniyar
68,16842825,21f1005948,"2026-09-07 18:00:58",39.03221,9,aman7717
69,16846605,22f1001805,"2026-09-07 17:38:21",39.02652,3,antifragile2
70,16838955,23f1000403,"2026-09-05 11:43:26",38.99847,1,rawnakjain
71,16828935,21f1006285,"2026-09-04 15:00:45",38.99819,3,ashishguptaiit
72,16827918,22f2001018,"2026-09-06 05:45:40",38.99184,3,jatinyadaviitm
73,16840534,21f3001755,"2026-09-05 17:57:03",38.98471,1,brijesh21f3001755
74,16829849,22f2000846,"2026-09-07 11:32:25",38.98079,3,chidanandhcna
75,16829587,21F3000014,"2026-09-07 09:33:35",38.97642,12,anandratna
76,16846090,23f1000561,"2026-09-07 17:53:16",38.95865,1,mohitkumarb1i
77,16840672,23f1002786,"2026-09-07 17:34:47",38.94775,11,user101again
78,16832275,22f3001912,"2026-09-07 01:54:17",38.94297,3,shramadeepd
79,16838743,23f1002044,"2026-09-05 14:36:45",38.90811,3,dnyaneswarwaychal
80,16830889,22F3000767,"2026-09-07 18:14:20",38.90420,2,ghamsini
81,16828627,24f2000934,"2026-09-07 23:54:03",38.89944,8,vedantmgoyal
82,16844225,21f1002300,"2026-09-07 18:49:31",38.89612,2,iitm21f1002300
83,16831877,21F1004098,"2026-09-07 14:34:16",38.84795,9,tejaspradeepsawant
84,16844573,ME24B147,"2026-09-07 15:22:10",38.84537,3,ksrohit26
85,16838816,21f1001940,"2026-09-07 11:40:49",38.78438,3,bhupendrakurmi
86,16846640,23F2004912,"2026-09-07 18:31:39",38.78327,4,abhijeet23f2004912
87,16830795,22F3003201,"2026-09-07 06:28:34",38.77483,4,abhishekpandia
88,16832117,23F1001940,"2026-09-06 18:30:28",38.75960,8,shashank7474
89,16836192,shsh,"2026-09-05 14:07:10",38.67848,2,kumarishr
90,16838614,21f3000591,"2026-09-07 05:17:03",38.65908,6,shubhranshusharma
91,16828902,23f3002416,"2026-09-04 11:06:48",38.64019,2,puneetbajajiitm
92,16828508,23F3001356,"2026-09-05 19:36:09",38.54500,11,shahbaazsingh
93,16838949,21f1001712,"2026-09-07 09:51:52",38.53995,4,hellorohit
94,16842479,22f3001350,"2026-09-06 10:53:41",38.53283,1,akshitasubramanian
95,16839514,21f2000306,"2026-09-07 17:58:18",38.51865,9,aganjali
96,16838394,21f1001169,"2026-09-05 06:52:38",38.50966,2,iitm21f1001169
97,16848337,23f1001684,"2026-09-07 17:02:52",38.50339,1,psarveshkumar
98,16842147,21f1005206,"2026-09-06 16:55:56",38.48151,3,mdanzarrabbani
99,16829114,22f2001312,"2026-09-06 16:34:17",38.47900,4,pranshusinha0205
100,16831660,23F3001911,"2026-09-05 12:22:18",38.45980,6,harshavardhan1911
101,16828228,23f2004752,"2026-09-07 09:53:27",38.42992,4,anshbansal10
102,16847589,21f1002373,"2026-09-07 15:31:57",38.42241,3,jhapiyush44
103,16843673,22f1001555,"2026-09-06 14:12:57",38.41884,2,abhijitnandi007
104,16830204,22F3000089,"2026-09-04 18:26:31",38.40863,1,samreenfathimas
105,16830043,"GAURAV KUMAR","2026-09-04 19:47:04",38.37967,2,hiigaurav
106,16843961,22f2001632,"2026-09-06 17:23:41",38.37250,2,tannu20114
107,16831980,23F2005347,"2026-09-05 11:11:41",38.33225,2,sarthak265
108,16836778,21f1006434,"2026-09-07 17:14:25",38.33079,2,iitm21f1006434
109,16828601,22f3001809,"2026-09-06 16:54:19",38.32606,2,illogicalapple
110,16846114,23f2000189,"2026-09-07 17:26:43",38.31438,5,rajatshenoi
111,16836651,21F1001824,"2026-09-05 11:45:31",38.30473,3,jagannath1824
112,16831169,23f1002643,"2026-09-07 08:22:31",38.29918,2,saininirmal
113,16829862,21f3002439,"2026-09-04 17:02:19",38.26609,1,amituchiha
114,16843881,23F3001747,"2026-09-06 15:54:31",38.26408,2,utkarshwizard
115,16827923,23F2003488,"2026-09-05 11:16:25",38.24512,5,priyanshuagarwal18
116,16849515,22f3000448,"2026-09-07 19:58:19",38.23896,2,veekshi28
117,16838567,22f3001144,"2026-09-07 16:27:23",38.23321,5,sohansrishamanthvr
118,16831241,23F1000026,"2026-09-04 23:34:53",38.20329,3,venkatvaradarajan
119,16843260,23f3003434,"2026-09-07 10:47:11",38.18426,2,prashaccount
120,16840220,21F1003204,"2026-09-06 17:36:40",38.03945,2,harshvardhankiitm
121,16838383,21f3002112,"2026-09-07 05:17:20",38.03425,9,vimalpandey6388
122,16843363,21f1006017,"2026-09-06 13:23:26",38.01111,2,sanjeevkiitm
123,16831023,23f1000205,"2026-09-06 18:14:27",37.97932,5,sknooralam
124,16841235,21F3001668,"2026-09-07 07:36:42",37.96222,1,anubhavagarwal5
125,16842715,iitm21f1002562,"2026-09-06 20:30:39",37.91985,9,harshpal1441ds
126,16832895,23f2001475,"2026-09-07 11:20:57",37.84961,1,dilsingh2004
127,16843309,24f2008495,"2026-09-06 11:14:19",37.82235,1,dhruvagoyal1
128,16844445,23F2005059,"2026-09-07 15:14:23",37.68213,5,someone321123
129,16827913,21f3000180,"2026-09-06 18:40:12",37.63243,8,yuvrajsharmaiitm
130,16840054,21f1002407,"2026-09-07 08:47:43",37.62995,1,anujgautam0
131,16832355,21f3000632,"2026-09-06 19:01:03",37.58986,6,a21f3000632
132,16842714,23f1002495,"2026-09-06 18:27:16",37.55639,1,pbvakhilesh
133,16844033,22F1001543,"2026-09-06 15:07:55",37.07240,1,karteektadimalla
134,16828077,23F2004880,"2026-09-05 19:14:14",37.06225,3,autumnzephyr
135,16836287,21F1005840,"2026-09-06 17:36:18",36.75262,4,indranil98
136,16828551,22f3001690,"2026-09-05 10:01:19",36.61437,2,yuvrajgosainiitm
137,16828466,"Saransh Saini","2026-09-04 15:40:20",36.51329,1,ds22f1001123
138,16843362,ganesh108,"2026-09-07 11:36:09",36.25024,2,ganesh108
139,16828092,23f2003807,"2026-09-07 17:13:08",35.61573,2,jashmevada
140,16849100,22f3001642,"2026-09-07 18:20:50",30.59768,1,shreyanchaubey
141,16830241,21f1001232,"2026-09-07 05:51:38",17.20360,1,yerolkarsujata
142,16838534,21F2000639,"2026-09-05 21:23:07",15.67211,3,gaurangidhuri27
143,16838414,dlp,"2026-09-05 13:00:45",15.19005,9,nishthaagarwal10
